CAE;Кол-во (шт.) (Склад Москва КрС);Розница (руб.) (Склад Москва КрС);Цена (руб.) (Склад Москва КрС);
"3151051";более 40;10350;8689;
"3151032";31;5190;4355;
"3151048";более 40;7690;6459;
"528413";28;10410;8192;
"3151047";более 40;8520;7157;
"3151041";более 40;6380;5359;
"3151045";более 40;8150;6843;
"3151050";24;8640;7256;
"528414";более 40;11920;9384;
"575923";более 40;6860;5401;
"528279";более 40;6720;5286;
"533483";более 40;15310;12053;
"528359";1;10420;8198;
"531361";31;7720;6075;
"2001422";1;17130;13920;
"PSR1292903";16;13680;10770;
"PSR1450603";22;10780;8487;
"PSR1290503";5;6530;5139;
"0451188";5;14200;11181;
"PSR1291103";8;9500;7474;
"PSR1291803";8;7640;6013;
"2209303";1;10170;8265;
"2209283";1;9260;7528;
"2209223";1;11160;9066;
"0348179";2;10870;8837;
"0348185";4;11650;9464;
"0348178";36;7970;6479;
"0348182";более 40;10580;8596;
"1764333";11;16353;12876;
"2151573";2;15729;12385;
"1871523";1;19197;15116;
"919828";6;20090;14782;
"427886";1;29630;24087;
"537506";1;26410;18819;
"0354383";2;29480;23212;
"0350763";1;19090;15026;
"PSR0LA2303";1;6140;4831;
"PSR0N28503";17;5770;4541;
"PSR0N38103";2;8440;6638;
"F4052";1;40660;32014;
"R6148";2;27740;21841;
"F0716";1;30640;24122;
"F1300";1;29550;23267;
"R6151";16;31880;25095;
"1020669";11;15000;12192;
"1017053";6;13010;10571;
"13936";8;9630;7823;
"13947";12;13080;10632;
"14218";12;10470;8507;
"14212";33;9530;7748;
"14210";1;10750;8735;
"13301";35;9500;7723;
"14211";1;7980;6486;
"14217";12;10630;8636;
"13930";18;12710;10328;
"14241";1;9530;7748;
"14244";2;11960;9720;
"NW00009";1;8650;7029;
"TTS149235";1;28220;26870;
"940469";1;67230;52935;
"493471";2;75930;59787;
"486138";10;16250;13211;
"190072";1;14490;11777;
"072416";18;5950;4834;
"088091";7;15500;12601;
"542294";24;5990;4868;
"709253";12;8400;6823;
"2130200";1;7200;5848;
"2187000";1;19840;15620;
"T429851";1;26140;21249;
"T429060";1;12550;10203;
"1008144";5;32610;24907;
"1009839";4;26100;20549;
"1008253";4;40500;30937;
"1007885";19;7410;5653;
"1006382";4;34240;26150;
"1012325";1;23290;17789;
"1011493";8;20670;15785;
"1012080";36;15200;11611;
"1017917";2;18950;14468;
"1013022";2;24800;18943;
"1012892";3;16380;12511;
"1013803";3;23410;18428;
"1013017";4;20010;15282;
"1009918";19;8210;6269;
"1010711";39;7400;5652;
"1012056";более 40;13240;10112;
"1006610";12;7260;5538;
"1006819";2;6590;5028;
"1018519";более 40;6730;5141;
"1006611";1;8530;6712;
"2000162";4;12490;9533;
"1004314";более 40;15340;11717;
"2001949";5;13940;10642;
"2020303";34;15970;12196;
"2020287";4;13250;10115;
"2001946";2;12720;9712;
"1009847";10;14260;10889;
"1015270";1;19610;14975;
"1014136";8;15680;11970;
"1014585";2;15150;11570;
"1014140";7;16950;12944;
"1015303";2;18620;14219;
"1014143";40;18240;13927;
"1018746";3;16110;12299;
"1014145";более 40;12710;9703;
"1014138";16;14700;11225;
"1014139";9;13090;9998;
"1015261";12;17590;13433;
"2001372";4;16420;12540;
"2001624";2;14200;10847;
"1018762";14;15650;11952;
"1018905";2;12980;9911;
"1018744";1;16250;12413;
"1018909";1;14240;10877;
"1018911";11;15270;11660;
"1018907";28;12600;9622;
"1018760";25;13360;10202;
"2001283";2;20380;15564;
"2000979";4;25580;19538;
"2020542";1;15720;12005;
"1016542";4;25690;19620;
"1016545";4;24080;18394;
"742977";1;3960;3216;
"1016558";1;42220;32246;
"2155263";2;12350;9717;
"2176533";1;14360;11304;
"2138600";более 40;5900;4640;
"2155483";1;13061;10284;
"2139200";более 40;10470;8237;
"2139100";более 40;9610;7565;
"2140500";4;8620;6786;
"2347100";23;8880;6990;
"2347200";более 40;9890;7781;
"2138200";15;5940;4676;
"2138800";более 40;7310;5755;
"2568300";более 40;8560;6738;
"2176500";1;5230;4113;
"2138300";более 40;5530;4352;
"573190";2;17500;13778;
"1959800";8;28450;22394;
"1953600";более 40;15470;12179;
"2354200";7;31540;24832;
"2852600";более 40;9700;7635;
"2795800";12;14770;10695;
"2320600";1;19830;15614;
"PXR0030203";32;5720;4645;
"PXR0034503";16;6650;5399;
"PXR0034003";2;7590;6163;
"PXR0036503";20;15090;12268;
"PXR0039103";23;13650;11095;
"F6106";1;12870;10456;
"PXR0043103";более 40;21400;17394;
"PXR0030403";1;18500;15033;
"PXR0081603";9;18420;14969;
"PXR0030003";16;19410;15776;
"PXR0029203";37;6220;5056;
"PXR0039703";2;14110;11465;
"PXR0036903";8;12720;10336;
"PXR0036103";16;9190;7465;
"PXR0028703";15;6560;5332;
"PXR0031603";15;9980;8113;
"PXR0033403";28;13940;11330;
"PXR0031403";более 40;6070;4933;
"PXR0031003";более 40;6480;5266;
"PXR0037903";20;9110;7404;
"PXR0028903";более 40;9010;7325;
"PXR0035903";26;9830;7991;
"PXR0038303";12;13650;11095;
"PXR0038903";8;12960;10534;
"PXR0034203";40;10340;8402;
"PXR0033703";более 40;10430;8478;
"PXR0035203";22;13420;10906;
"PXR0037203";1;16840;13691;
"PXR0035703";4;9300;7558;
"PXR0032803";более 40;6950;5648;
"PXR0035503";21;14100;11461;
"PXR0037403";8;15470;12575;
"PXR0030603";4;19030;15466;
"PXR0034703";8;19360;15738;
"PXR0029403";более 40;5740;4666;
"PXR0037603";32;16260;13215;
"2480900";более 40;9650;7844;
"PXR0101803";8;19580;15916;
"2480700";более 40;6080;4942;
"2348800";более 40;6340;5148;
"2349700";более 40;6890;5598;
"2350000";более 40;6980;5672;
"2349200";более 40;5630;4572;
"2348600";более 40;5960;4845;
"2349300";более 40;5540;4498;
"2349000";более 40;5420;4401;
"2349500";более 40;9750;7923;
"2350100";более 40;9290;7547;
"2481400";более 40;9950;8083;
"2480800";более 40;6950;5649;
"1585383";1;6520;5296;
"0428100";2;11960;9718;
"0356490";более 40;13330;10489;
"0357157";25;9200;5618;
"PXR0072803";более 40;15950;12967;
"PXR0073203";12;15270;12407;
"PXR0070903";36;14310;11634;
"PXR0071203";более 40;14760;12000;
"PXR0088803";28;19430;15795;
"PXR0069003";12;22680;18432;
"PXR0092203";8;23230;18884;
"PXR0068603";16;19510;15859;
"PXR0092903";35;22080;17950;
"PXR0069203";11;20500;16665;
"PXR0093003";2;22740;18482;
"PXR0078403";более 40;10430;8478;
"PXR0078603";12;13890;11292;
"PXR0075103";16;13940;11330;
"PXR0075203";12;14100;11458;
"PXR0102003";1;19680;16000;
"PXR0104103";более 40;23040;18730;
"PXR0076203";28;14340;11658;
"PXR0076803";14;16570;13468;
"PXR0075503";более 40;14020;11395;
"PXR0072303";более 40;15670;12733;
"PXR0071703";более 40;16680;13553;
"PXR0069803";6;15850;12883;
"PXR0075803";более 40;13620;11067;
"2358500";более 40;13710;11145;
"2425400";более 40;7050;5731;
"2425500";более 40;7300;5934;
"2425600";более 40;14000;11382;
"2425900";более 40;12980;10547;
"3244300";1;14460;11756;
"3244100";более 40;13880;11280;
"2465700";более 40;18710;15206;
"2718600";19;26240;21331;
"2439800";более 40;49000;33403;
"2505300";более 40;6420;5212;
"2505700";34;6830;5550;
"2505100";24;7430;6035;
"2505400";более 40;6470;5257;
"2359700";1;18000;13850;
"2505500";более 40;6500;5280;
"2466700";более 40;17690;14382;
"2505600";более 40;6800;5528;
"2466500";более 40;12690;10310;
"2466400";более 40;16910;13740;
"2508500";более 40;18060;14676;
"2508100";более 40;6310;5122;
"2425800";более 40;13120;10660;
"2358300";более 40;12940;10513;
